id;title;description;email;phone_number;hire_date;salary;longitude;latitude;status
1;hub Rustic Sports;program application THX;Maia_Heller52@gmail.com;Tasty Gorgeous Avon;2023-04-11T20:59:21;98616;82998;50675;ACTIVE
2;user-centric Unbranded;base Innovative;Keaton_Cummerata@hotmail.com;Digitized;2023-04-12T04:10:46;88111;25109;59233;INACTIVE
3;Function-based grey;Vista;Gunner.Ankunding77@hotmail.com;withdrawal Wooden Engineer;2023-04-11T16:05:19;14554;83712;73645;ACTIVE
4;THX Chips infomediaries;Account Open-source;Danielle94@gmail.com;quantifying Louisiana Ports;2023-04-11T15:51:41;93478;66043;96887;INACTIVE
5;Bike Gorgeous;robust;Santos79@yahoo.com;Soft Technician Functionality;2023-04-12T02:49:47;75546;46218;92573;ACTIVE
6;Vermont tertiary;Intelligent Coordinator;Mathias_Powlowski@yahoo.com;incentivize;2023-04-12T02:32:42;75271;70511;40592;ACTIVE
7;full-range;Frozen;Estefania60@hotmail.com;transmitting Fresh;2023-04-12T09:48:54;89127;34736;53025;ACTIVE
8;Oregon next-generation Kentucky;wireless reciprocal;Lazaro96@yahoo.com;SDD SAS Borders;2023-04-11T23:56:09;5379;25000;92591;ACTIVE
9;Loaf;Global functionalities;Ericka4@yahoo.com;multi-state access Spur;2023-04-12T04:33:31;71227;75577;96668;ACTIVE
10;Money Beauty asynchronous;Idaho;Rory11@hotmail.com;Cedi connecting Congo;2023-04-12T09:31:06;95266;8021;89922;INACTIVE
